iterations,threads,time_in_ns,matrix_size,gmacs
0,1,659000,150,5.1213960546282244
0,8,254000,150,13.28740157480315
1,1,574000,150,5.879790940766551
1,8,786000,150,4.293893129770993
2,1,542000,150,6.226937269372693
2,8,3223000,150,1.0471610300961838
3,1,3595000,150,0.9388038942976356
3,8,245000,150,13.775510204081632
4,1,558000,150,6.048387096774194
4,8,592000,150,5.701013513513513
5,1,601000,150,5.615640599001664
5,8,3891000,150,0.8673862760215882
6,1,577000,150,5.849220103986135
6,8,235000,150,14.361702127659575
7,1,593000,150,5.691399662731872
7,8,226000,150,14.93362831858407
8,1,548000,150,6.158759124087592
8,8,262000,150,12.881679389312977
9,1,585000,150,5.769230769230769
9,8,400000,150,8.4375
10,1,554000,150,6.092057761732852
10,8,230000,150,14.673913043478262
11,1,540000,150,6.25
11,8,233000,150,14.484978540772532
12,1,536000,150,6.2966417910447765
12,8,318000,150,10.61320754716981
13,1,538000,150,6.273234200743494
13,8,230000,150,14.673913043478262
14,1,543000,150,6.2154696132596685
14,8,6824000,150,0.49457796014067995
15,1,539000,150,6.261595547309833
15,8,244000,150,13.831967213114755
16,1,511000,150,6.604696673189824
16,8,306000,150,11.029411764705882
17,1,535000,150,6.308411214953271
17,8,497000,150,6.790744466800805
18,1,511000,150,6.604696673189824
18,8,231000,150,14.61038961038961
19,1,505000,150,6.683168316831683
19,8,331000,150,10.196374622356496
0,1,987000,175,5.429964539007092
0,8,3245000,175,1.6515793528505394
1,1,877000,175,6.111031927023945
1,8,1222000,175,4.385740589198036
2,1,889000,175,6.028543307086614
2,8,327000,175,16.38952599388379
3,1,953000,175,5.623688352570829
3,8,346000,175,15.489523121387283
4,1,856000,175,6.2609521028037385
4,8,329000,175,16.289893617021278
5,1,855000,175,6.268274853801169
5,8,3640000,175,1.4723557692307692
6,1,867000,175,6.1815167243367934
6,8,326000,175,16.43980061349693
7,1,911000,175,5.882958287596049
7,8,337000,175,15.90318991097923
8,1,858000,175,6.246357808857809
8,8,9979000,175,0.5370653372081371
9,1,947000,175,5.659318901795142
9,8,1742000,175,3.07656429391504
10,1,894000,175,5.994826621923937
10,8,2377000,175,2.25468026924695
11,1,903000,175,5.935077519379845
11,8,354000,175,15.139477401129943
12,1,914000,175,5.8636487964989055
12,8,324000,175,16.54128086419753
13,1,917000,175,5.844465648854962
13,8,330000,175,16.240530303030305
14,1,907000,175,5.908902976846748
14,8,818000,175,6.551803178484108
15,1,874000,175,6.132008009153318
15,8,11529000,175,0.46486035215543414
16,1,903000,175,5.935077519379845
16,8,332000,175,16.14269578313253
17,1,894000,175,5.994826621923937
17,8,677000,175,7.916358936484491
18,1,918000,175,5.838099128540305
18,8,322000,175,16.644021739130434
19,1,922000,175,5.812771149674621
19,8,328000,175,16.33955792682927
0,1,1284000,200,6.230529595015576
0,8,471000,200,16.985138004246284
1,1,1274000,200,6.279434850863423
1,8,512000,200,15.625
2,1,1300000,200,6.153846153846154
2,8,584000,200,13.698630136986301
3,1,1361000,200,5.878030859662013
3,8,825000,200,9.696969696969697
4,1,1306000,200,6.1255742725880555
4,8,516000,200,15.503875968992247
5,1,1334000,200,5.997001499250374
5,8,485000,200,16.49484536082474
6,1,1345000,200,5.947955390334572
6,8,506000,200,15.810276679841897
7,1,1290000,200,6.2015503875969
7,8,547000,200,14.625228519195613
8,1,1326000,200,6.033182503770739
8,8,3858000,200,2.0736132711249353
9,1,1438000,200,5.563282336578581
9,8,491000,200,16.293279022403258
10,1,1294000,200,6.182380216383308
10,8,480000,200,16.666666666666668
11,1,1348000,200,5.9347181008902075
11,8,11417000,200,0.7007094683366909
12,1,1352000,200,5.9171597633136095
12,8,481000,200,16.632016632016633
13,1,1329000,200,6.019563581640331
